hash; elems
0 668
1 165
2 238
3 70
4 211
5 123
6 414
7 117
8 291
9 81
10 232
11 113
12 237
13 115
14 372
15 42
16 205
17 85
18 269
19 72
20 296
21 75
22 194
23 87
24 210
25 46
26 226
27 117
28 226
29 72
30 190
31 89
32 290
33 31
34 300
35 78
36 256
37 114
38 356
39 80
40 219
41 54
42 240
43 65
44 281
45 79
46 320
47 52
48 223
49 67
50 199
51 59
52 258
53 161
54 352
55 93
56 244
57 56
58 228
59 70
60 198
61 97
62 167
63 76
64 190
65 116
66 285
67 79
68 282
69 108
70 310
71 96
72 368
73 109
74 212
75 57
76 285
77 88
78 294
79 84
80 264
81 204
82 235
83 69
84 311
85 113
86 272
87 77
88 251
89 78
90 268
91 104
92 300
93 105
94 318
95 70
96 211
97 115
